dt,symbol,open,high,low,close,volume,vwap,is_trading_day
2025-05-29,2317.tw,154.5,158.0,154.0,156.0,88695221,156.0,1
2025-06-02,2317.tw,154.0,154.5,151.0,152.5,54596606,152.666667,1
2025-06-03,2317.tw,153.5,155.0,151.5,151.5,37496603,152.666667,1
2025-06-04,2317.tw,153.5,156.0,153.0,156.0,39430089,155.0,1
2025-06-05,2317.tw,156.5,157.0,155.5,155.5,34135967,156.0,1
2025-06-06,2317.tw,155.5,155.5,153.0,153.0,23622232,153.833333,1
2025-06-09,2317.tw,155.0,155.5,154.0,154.5,18242233,154.666667,1
2025-06-10,2317.tw,155.5,156.0,155.0,155.5,31625938,155.5,1
2025-06-11,2317.tw,156.5,157.5,155.5,156.0,26921144,156.333333,1
2025-06-12,2317.tw,155.5,158.0,154.0,157.5,32770167,156.5,1
2025-06-13,2317.tw,157.0,158.5,156.0,156.5,37075939,157.0,1
2025-06-16,2317.tw,156.0,157.0,154.5,155.0,21564832,155.5,1
2025-06-17,2317.tw,156.5,157.0,154.5,155.0,25153697,155.5,1
2025-06-18,2317.tw,155.0,156.5,154.0,156.0,34125837,155.5,1
2025-06-19,2317.tw,155.5,156.0,154.0,154.0,20289055,154.666667,1
2025-06-20,2317.tw,154.5,155.5,153.0,155.5,58365008,154.666667,1
2025-06-23,2317.tw,153.0,156.0,152.0,156.0,48485749,154.666667,1
2025-06-24,2317.tw,158.0,162.0,157.5,160.5,66177329,160.0,1
2025-06-25,2317.tw,161.5,162.0,160.0,162.0,48074338,161.333333,1
2025-06-26,2317.tw,162.0,164.0,161.5,163.0,64983063,162.833333,1
2025-06-27,2317.tw,163.0,165.5,162.5,165.0,74726884,164.333333,1
2025-06-30,2317.tw,166.0,166.5,161.0,161.0,59551541,162.833333,1
2025-07-01,2317.tw,161.5,166.0,161.0,165.5,101734619,164.166667,1
2025-07-02,2317.tw,160.0,162.0,160.0,162.0,64904578,161.333333,1
2025-07-03,2317.tw,164.0,164.5,163.0,164.0,45499276,163.833333,1
2025-07-04,2317.tw,164.0,164.5,160.5,161.0,27434055,162.0,1
2025-07-07,2317.tw,161.0,162.0,159.5,161.0,23838993,160.833333,1
2025-07-08,2317.tw,160.5,161.0,158.5,159.0,30285544,159.5,1
2025-07-09,2317.tw,159.5,161.5,159.0,161.0,28926202,160.5,1
2025-07-10,2317.tw,161.0,162.5,160.0,161.5,29653356,161.333333,1
2025-07-11,2317.tw,161.5,162.5,160.5,161.5,20131944,161.5,1
2025-07-14,2317.tw,161.5,162.5,160.5,160.5,18584525,161.166667,1
2025-07-15,2317.tw,160.0,163.0,160.0,163.0,20264333,162.0,1
2025-07-16,2317.tw,163.0,164.0,162.5,162.5,23986877,163.0,1
2025-07-17,2317.tw,163.0,164.0,162.5,164.0,20425825,163.5,1
2025-07-18,2317.tw,165.0,166.0,164.5,165.5,34053809,165.333333,1
2025-07-21,2317.tw,166.0,166.5,164.5,165.0,16688671,165.333333,1
2025-07-22,2317.tw,165.0,166.0,161.5,162.0,37854645,163.166667,1
2025-07-23,2317.tw,163.5,166.0,163.5,166.0,50337916,165.166667,1
2025-07-24,2317.tw,168.0,174.0,167.5,174.0,124903778,171.833333,1
2025-07-25,2317.tw,175.5,175.5,173.0,174.5,55406174,174.333333,1
2025-07-28,2317.tw,176.0,178.0,175.5,176.0,54693143,176.5,1
2025-07-29,2317.tw,175.0,175.5,171.0,171.5,48559908,172.666667,1
2025-07-30,2317.tw,171.5,171.5,171.5,171.5,0,171.5,1
2025-07-31,2317.tw,178.0,179.0,176.0,178.0,88011311,177.666667,1
2025-08-04,2317.tw,179.5,181.0,178.5,180.0,43591055,179.833333,1
2025-08-05,2317.tw,182.0,185.0,182.0,184.5,50872232,183.833333,1
2025-08-06,2317.tw,185.5,188.5,184.0,186.0,67331558,186.166667,1
2025-08-07,2317.tw,190.0,195.0,190.0,194.5,116627300,193.166667,1
2025-08-08,2317.tw,197.0,197.0,193.5,194.5,63362046,195.0,1
2025-08-11,2317.tw,194.0,198.0,192.5,198.0,50587400,196.166667,1
2025-08-12,2317.tw,198.5,199.0,195.5,197.0,37740908,197.166667,1
2025-08-13,2317.tw,198.0,199.0,193.5,198.5,99654169,197.0,1
2025-08-14,2317.tw,197.5,200.0,197.0,199.5,76141475,198.833333,1
2025-08-15,2317.tw,205.0,208.0,202.0,207.0,152202911,205.666667,1
2025-08-18,2317.tw,207.5,210.0,206.0,210.0,71303659,208.666667,1
2025-08-19,2317.tw,210.0,212.0,208.0,208.0,48799892,209.333333,1
2025-08-20,2317.tw,206.0,206.5,200.0,200.5,120493896,202.333333,1
2025-08-21,2317.tw,201.0,206.0,201.0,206.0,66575736,204.333333,1
2025-08-22,2317.tw,208.0,208.0,202.0,202.5,52817040,204.166667,1
2025-08-25,2317.tw,207.0,208.0,206.0,207.5,51151687,207.166667,1
2025-08-26,2317.tw,207.0,209.0,206.0,209.0,40946610,208.0,1
2025-08-27,2317.tw,210.0,210.0,207.5,208.0,39112918,208.5,1
2025-08-28,2317.tw,207.5,207.5,204.0,206.0,45436240,205.833333,1
2025-08-29,2317.tw,206.0,207.0,202.5,203.5,52960909,204.333333,1
2025-09-01,2317.tw,203.0,204.5,197.0,198.5,67997565,200.0,1
2025-09-02,2317.tw,200.0,203.5,198.0,198.5,34829147,200.0,1
2025-09-03,2317.tw,198.5,201.0,197.0,200.5,33636295,199.5,1
2025-09-04,2317.tw,203.0,205.0,202.0,203.0,41160693,203.333333,1
2025-09-05,2317.tw,205.5,206.5,203.0,205.0,37057097,204.833333,1
2025-09-08,2317.tw,206.0,207.5,202.0,203.5,44569167,204.333333,1
2025-09-09,2317.tw,204.5,208.0,204.0,207.5,63494345,206.5,1
2025-09-10,2317.tw,211.0,211.0,209.0,210.0,84148890,210.0,1
2025-09-11,2317.tw,212.0,216.5,209.0,214.5,129973733,213.333333,1
2025-09-12,2317.tw,217.0,218.5,216.5,217.5,71479522,217.5,1
2025-09-15,2317.tw,218.5,218.5,213.0,216.0,55330938,215.833333,1
2025-09-16,2317.tw,217.0,217.0,213.5,215.5,49662786,215.333333,1
2025-09-17,2317.tw,214.0,214.5,211.0,212.0,55894730,212.5,1
2025-09-18,2317.tw,211.5,216.0,208.0,215.0,78891977,213.0,1
2025-09-19,2317.tw,216.5,217.0,214.0,214.0,56361409,215.0,1
2025-09-22,2317.tw,215.5,218.0,214.0,216.0,33805955,216.0,1
2025-09-23,2317.tw,218.0,222.0,217.5,221.0,103442188,220.166667,1
2025-09-24,2317.tw,222.0,223.0,219.0,223.0,64385629,221.666667,1
2025-09-25,2317.tw,223.0,231.0,222.5,230.0,123630302,227.833333,1
2025-09-26,2317.tw,230.0,230.5,218.5,219.5,116991800,222.833333,1
2024-01-02,2330.tw,590.0,593.0,589.0,593.0,26059058,591.666667,1
2024-01-03,2330.tw,584.0,585.0,576.0,578.0,37106763,579.666667,1
